model,data_augmentations,instance_id,train_trial_index,score,score_name,unique_id_inc_seed,split,sub_split
ai21_j1-grande-v2-beta,"/dccstor/nlgforbi/fm-eval/dev/research-helm/benchmark_output/runs/v0.2.2/mmlu:subject=computer_security,method=multiple_choice_joint,model=ai21_j1-grande-v2-beta,data_augmentation=canonical",id5,0,1.0,exact_match,"mmlu:subject=computer_security,method=multiple_choice_joint_id5_0",valid,
ai21_j1-grande-v2-beta,"/dccstor/nlgforbi/fm-eval/dev/research-helm/benchmark_output/runs/v0.2.2/mmlu:subject=computer_security,method=multiple_choice_joint,model=ai21_j1-grande-v2-beta,data_augmentation=canonical",id6,0,1.0,exact_match,"mmlu:subject=computer_security,method=multiple_choice_joint_id6_0",valid,
ai21_j1-grande-v2-beta,"/dccstor/nlgforbi/fm-eval/dev/research-helm/benchmark_output/runs/v0.2.2/mmlu:subject=computer_security,method=multiple_choice_joint,model=ai21_j1-grande-v2-beta,data_augmentation=canonical",id7,0,0.0,exact_match,"mmlu:subject=computer_security,method=multiple_choice_joint_id7_0",valid,
ai21_j1-grande-v2-beta,"/dccstor/nlgforbi/fm-eval/dev/research-helm/benchmark_output/runs/v0.2.2/mmlu:subject=computer_security,method=multiple_choice_joint,model=ai21_j1-grande-v2-beta,data_augmentation=canonical",id8,0,0.0,exact_match,"mmlu:subject=computer_security,method=multiple_choice_joint_id8_0",valid,
ai21_j1-grande-v2-beta,"/dccstor/nlgforbi/fm-eval/dev/research-helm/benchmark_output/runs/v0.2.2/mmlu:subject=computer_security,method=multiple_choice_joint,model=ai21_j1-grande-v2-beta,data_augmentation=canonical",id9,0,1.0,exact_match,"mmlu:subject=computer_security,method=multiple_choice_joint_id9_0",valid,
ai21_j1-grande-v2-beta,"/dccstor/nlgforbi/fm-eval/dev/research-helm/benchmark_output/runs/v0.2.2/mmlu:subject=computer_security,method=multiple_choice_joint,model=ai21_j1-grande-v2-beta,data_augmentation=canonical",id10,0,0.0,exact_match,"mmlu:subject=computer_security,method=multiple_choice_joint_id10_0",valid,
ai21_j1-grande-v2-beta,"/dccstor/nlgforbi/fm-eval/dev/research-helm/benchmark_output/runs/v0.2.2/mmlu:subject=computer_security,method=multiple_choice_joint,model=ai21_j1-grande-v2-beta,data_augmentation=canonical",id11,0,0.0,exact_match,"mmlu:subject=computer_security,method=multiple_choice_joint_id11_0",valid,
ai21_j1-grande-v2-beta,"/dccstor/nlgforbi/fm-eval/dev/research-helm/benchmark_output/runs/v0.2.2/mmlu:subject=computer_security,method=multiple_choice_joint,model=ai21_j1-grande-v2-beta,data_augmentation=canonical",id12,0,1.0,exact_match,"mmlu:subject=computer_security,method=multiple_choice_joint_id12_0",valid,
ai21_j1-grande-v2-beta,"/dccstor/nlgforbi/fm-eval/dev/research-helm/benchmark_output/runs/v0.2.2/mmlu:subject=computer_security,method=multiple_choice_joint,model=ai21_j1-grande-v2-beta,data_augmentation=canonical",id13,0,0.0,exact_match,"mmlu:subject=computer_security,method=multiple_choice_joint_id13_0",valid,
ai21_j1-grande-v2-beta,"/dccstor/nlgforbi/fm-eval/dev/research-helm/benchmark_output/runs/v0.2.2/mmlu:subject=computer_security,method=multiple_choice_joint,model=ai21_j1-grande-v2-beta,data_augmentation=canonical",id14,0,0.0,exact_match,"mmlu:subject=computer_security,method=multiple_choice_joint_id14_0",valid,
